"x","y","GID","Labor_unskilled_Agriculture_3C"
-124.4583333,42.79166693,1,0
-124.4583333,42.87500026,2,0
-124.375,42.45833361,3,-0.00086399051360786
-124.375,42.95833359,4,-0.0188327077776194
-124.375,43.04166692,5,-0.0183229558169842
-124.375,43.12500025,6,-0.0118378316983581
-124.375,43.20833358,7,-0.00535270711407065
-124.375,47.95833339,8,-0.0109082637354732
-124.2916667,40.54166702,9,-0.00598459038883448
-124.2916667,43.12500025,10,-0.0118378316983581
-124.2916667,43.20833358,11,-0.00535270711407065
-124.2083334,40.54166702,12,-0.0125056998804212
-124.2083334,40.62500035,13,-0.00784184876829386
-124.2083334,42.04166696,14,-0.0243777669966221
-124.2083334,42.12500029,15,-0.0220998022705317
-124.2083334,43.12500025,16,-0.0172652825713158
-124.2083334,43.29166691,17,-0.00852365512400866
-124.2083334,43.45833357,18,-0.00545418541878462
-124.1250001,40.54166702,19,-0.0255479328334332
-124.1250001,40.87500034,20,-0.00151381711475551
-124.1250001,42.12500029,21,-0.0494946017861366
-124.1250001,42.20833362,22,-0.052211944013834
-124.1250001,42.95833359,23,-0.0324474647641182
-124.1250001,43.04166692,24,-0.0310984887182713
-124.1250001,43.12500025,25,-0.0281201992183924
-124.1250001,43.20833358,26,-0.0251419078558683
-124.1250001,43.29166691,27,-0.0217735003679991
-124.1250001,43.37500024,28,-0.01801498234272
-124.1250001,43.45833357,29,-0.0142564633861184
-124.0416668,40.54166702,30,-0.0385901667177677
-124.0416668,43.12500025,31,-0.038975115865469
-124.0416668,43.20833358,32,-0.0383347161114216
-124.0416668,43.37500024,33,-0.0290410444140434
-123.9583335,40.37500036,34,-0.0659121796488762
-123.9583335,40.45833369,35,-0.0612684488296509
-123.9583335,43.79166689,36,-0.0224427431821823
-123.9583335,44.70833352,37,-0.00442594615742564
-123.9583335,44.79166685,38,-0.00435081589967012
-123.9583335,44.87500018,39,-0.00434805126860738
-123.9583335,47.20833342,40,-0.0240184906870127
-123.8750002,40.37500036,41,-0.0800737962126732
-123.8750002,43.12500025,42,-0.0617897063493729
-123.8750002,43.5416669,43,-0.0497345924377441
-123.8750002,44.12500021,44,-0.0244778916239738
-123.8750002,44.70833352,45,-0.0131765985861421
-123.8750002,44.79166685,46,-0.0129387909546494
-123.8750002,45.12500017,47,-0.0139833437278867
-123.8750002,45.2083335,48,-0.0147477760910988
-123.8750002,45.29166683,49,-0.0148838385939598
-123.8750002,45.45833349,50,-0.0138992303982377
-123.8750002,45.70833348,51,-0.0108942240476608
-123.8750002,45.79166681,52,-0.0102769127115607
-123.8750002,46.12500013,53,-0.00738530186936259
-123.7916669,42.37500028,54,-0.132801413536072
-123.7916669,43.5416669,55,-0.0679797008633614
-123.7916669,44.70833352,56,-0.0219272505491972
-123.7916669,44.79166685,57,-0.0215267650783062
-123.7916669,45.37500016,58,-0.0239191297441721
-123.7916669,45.45833349,59,-0.0231065098196268
-123.7916669,45.54166682,60,-0.0217840075492859
-123.7916669,45.70833348,61,-0.0181192439049482
-123.7916669,45.79166681,62,-0.0170947667211294
-123.7916669,47.12500009,63,-0.0434754975140095
-123.7083336,42.20833362,64,-0.158018410205841
-123.7083336,42.29166695,65,-0.159476295113564
-123.7083336,43.62500023,66,-0.0804175660014153
-123.7083336,43.70833356,67,-0.0757022202014923
-123.7083336,44.3750002,68,-0.0374855399131775
-123.7083336,44.62500019,69,-0.0361540541052818
-123.7083336,44.87500018,70,-0.0340801142156124
-123.7083336,45.12500017,71,-0.0344315022230148
-123.7083336,45.45833349,72,-0.0309209506958723
-123.7083336,46.12500013,73,-0.0161496680229902
-123.7083336,46.70833344,74,-0.0337519943714142
-123.7083336,46.8750001,75,-0.039585143327713
-123.7083336,47.04166676,76,-0.0469338782131672
-123.7083336,47.12500009,77,-0.0533326528966427
-123.6250003,40.95833367,78,-0.0992791950702667
-123.6250003,42.12500029,79,-0.138085827231407
-123.6250003,42.20833362,80,-0.157521456480026
-123.6250003,42.29166695,81,-0.166879087686539
-123.6250003,43.37500024,82,-0.112087406218052
-123.6250003,43.62500023,83,-0.0955609306693077
-123.6250003,44.3750002,84,-0.0561523251235485
-123.6250003,44.62500019,85,-0.0541256666183472
-123.6250003,44.79166685,86,-0.0506042428314686
-123.6250003,45.04166684,87,-0.0499125868082047
-123.6250003,45.12500017,88,-0.0475765503942966
-123.6250003,45.87500014,89,-0.0253764875233173
-123.6250003,46.12500013,90,-0.018973533064127
-123.6250003,46.37500012,91,-0.0213764104992151
-123.6250003,46.95833343,92,-0.0533583797514439
-123.6250003,47.04166676,93,-0.0573888123035431
-123.6250003,47.12500009,94,-0.0611016228795052
-123.541667,39.12500041,95,-0.0534992814064026
-123.541667,42.12500029,96,-0.130459144711494
-123.541667,42.45833361,97,-0.190180972218513
-123.541667,43.12500025,98,-0.133378863334656
-123.541667,43.20833358,99,-0.139746993780136
-123.541667,43.5416669,100,-0.117255501449108
-123.541667,43.62500023,101,-0.1107042953372
-123.541667,44.20833354,102,-0.0763621404767036
-123.541667,44.3750002,103,-0.0748191103339195
-123.541667,44.54166686,104,-0.0755387023091316
-123.541667,44.62500019,105,-0.0720972716808319
-123.541667,44.70833352,106,-0.0686558485031128
-123.541667,45.04166684,107,-0.0656297206878662
-123.541667,45.12500017,108,-0.0607216022908688
-123.541667,45.87500014,109,-0.0287978947162628
-123.541667,45.95833347,110,-0.028264069929719
-123.541667,46.12500013,111,-0.0217973962426186
-123.541667,46.37500012,112,-0.0246785320341587
-123.541667,46.95833343,113,-0.0643653869628906
-123.541667,47.04166676,114,-0.0678437501192093
-123.541667,47.12500009,115,-0.0688705891370773
-123.4583337,39.04166708,116,-0.051928523927927
-123.4583337,39.12500041,117,-0.0804531499743462
-123.4583337,39.62500039,118,-0.0834069475531578
-123.4583337,39.70833372,119,-0.087465338408947
-123.4583337,42.37500028,120,-0.19707079231739
-123.4583337,42.45833361,121,-0.212222874164581
-123.4583337,42.7083336,122,-0.156321316957474
-123.4583337,42.87500026,123,-0.143862143158913
