"x","y","GID","Labor_unskilled_Agriculture_3C"
-124.4583333,42.79166693,1,0
-124.4583333,42.87500026,2,0
-124.375,42.45833361,3,-0.000305590248899534
-124.375,42.95833359,4,-0.00809869449585676
-124.375,43.04166692,5,-0.00784706138074398
-124.375,43.12500025,6,-0.00487746810540557
-124.375,43.20833358,7,-0.0019078750628978
-124.375,47.95833339,8,-0.0115597667172551
-124.2916667,40.54166702,9,-0.00256770430132747
-124.2916667,43.12500025,10,-0.00487746810540557
-124.2916667,43.20833358,11,-0.0019078750628978
-124.2083334,40.54166702,12,-0.00819511245936155
-124.2083334,40.62500035,13,-0.00509383855387568
-124.2083334,42.04166696,14,-0.0173987708985806
-124.2083334,42.12500029,15,-0.0167936962097883
-124.2083334,43.12500025,16,-0.00832422729581594
-124.2083334,43.29166691,17,-0.00415900489315391
-124.2083334,43.45833357,18,-0.00261907139793038
-124.1250001,40.54166702,19,-0.0194499418139458
-124.1250001,40.87500034,20,-0.000814995320979506
-124.1250001,42.12500029,21,-0.0415804870426655
-124.1250001,42.20833362,22,-0.045036107301712
-124.1250001,42.95833359,23,-0.0183710567653179
-124.1250001,43.04166692,24,-0.0168390534818172
-124.1250001,43.12500025,25,-0.0152177531272173
-124.1250001,43.20833358,26,-0.0135964527726173
-124.1250001,43.29166691,27,-0.0117071503773332
-124.1250001,43.37500024,28,-0.00954984873533249
-124.1250001,43.45833357,29,-0.0073925475589931
-124.0416668,40.54166702,30,-0.0307047702372074
-124.0416668,43.12500025,31,-0.0221112798899412
-124.0416668,43.20833358,32,-0.0213888417929411
-124.0416668,43.37500024,33,-0.0157106593251228
-123.9583335,40.37500036,34,-0.0608254373073578
-123.9583335,40.45833369,35,-0.0558421164751053
-123.9583335,43.79166689,36,-0.0139103643596172
-123.9583335,44.70833352,37,-0.00370772136375308
-123.9583335,44.79166685,38,-0.00362230371683836
-123.9583335,44.87500018,39,-0.00358198769390583
-123.9583335,47.20833342,40,-0.0209615100175142
-123.8750002,40.37500036,41,-0.0850758478045464
-123.8750002,43.12500025,42,-0.042970959097147
-123.8750002,43.5416669,43,-0.0339279547333717
-123.8750002,44.12500021,44,-0.0182284321635962
-123.8750002,44.70833352,45,-0.0110971070826054
-123.8750002,44.79166685,46,-0.010837678797543
-123.8750002,45.12500017,47,-0.0112348888069391
-123.8750002,45.2083335,48,-0.0117189539596438
-123.8750002,45.29166683,49,-0.0117122158408165
-123.8750002,45.45833349,50,-0.010717143304646
-123.8750002,45.70833348,51,-0.00828261952847242
-123.8750002,45.79166681,52,-0.00777193671092391
-123.8750002,46.12500013,53,-0.00538112735375762
-123.7916669,42.37500028,54,-0.143692821264267
-123.7916669,43.5416669,55,-0.0488072372972965
-123.7916669,44.70833352,56,-0.0184864923357964
-123.7916669,44.79166685,57,-0.0180530529469252
-123.7916669,45.37500016,58,-0.0186732560396194
-123.7916669,45.45833349,59,-0.0178473368287086
-123.7916669,45.54166682,60,-0.0167068336158991
-123.7916669,45.70833348,61,-0.0137966545298696
-123.7916669,45.79166681,62,-0.0129465963691473
-123.7916669,47.12500009,63,-0.0425033122301102
-123.7083336,42.20833362,64,-0.178328558802605
-123.7083336,42.29166695,65,-0.178396746516228
-123.7083336,43.62500023,66,-0.0601664297282696
-123.7083336,43.70833356,67,-0.056808952242136
-123.7083336,44.3750002,68,-0.0318403914570808
-123.7083336,44.62500019,69,-0.031604889780283
-123.7083336,44.87500018,70,-0.0295022558420897
-123.7083336,45.12500017,71,-0.0289486516267061
-123.7083336,45.45833349,72,-0.0247686766088009
-123.7083336,46.12500013,73,-0.012213391251862
-123.7083336,46.70833344,74,-0.0307092797011137
-123.7083336,46.8750001,75,-0.0386248119175434
-123.7083336,47.04166676,76,-0.0474796444177628
-123.7083336,47.12500009,77,-0.0538719706237316
-123.6250003,40.95833367,78,-0.116668350994587
-123.6250003,42.12500029,79,-0.158149555325508
-123.6250003,42.20833362,80,-0.178363934159279
-123.6250003,42.29166695,81,-0.186989098787308
-123.6250003,43.37500024,82,-0.0869732722640038
-123.6250003,43.62500023,83,-0.0738885030150414
-123.6250003,44.3750002,84,-0.0495136789977551
-123.6250003,44.62500019,85,-0.0489074066281319
-123.6250003,44.79166685,86,-0.0457302294671535
-123.6250003,45.04166684,87,-0.0444629080593586
-123.6250003,45.12500017,88,-0.041968572884798
-123.6250003,45.87500014,89,-0.0206047985702753
-123.6250003,46.12500013,90,-0.0151286404579878
-123.6250003,46.37500012,91,-0.0171843208372593
-123.6250003,46.95833343,92,-0.0545748099684715
-123.6250003,47.04166676,93,-0.0595460385084152
-123.6250003,47.12500009,94,-0.0640014335513115
-123.541667,39.12500041,95,-0.0429702512919903
-123.541667,42.12500029,96,-0.15032322704792
-123.541667,42.45833361,97,-0.208158254623413
-123.541667,43.12500025,98,-0.107898406684399
-123.541667,43.20833358,99,-0.111602947115898
-123.541667,43.5416669,100,-0.0926320031285286
-123.541667,43.62500023,101,-0.0876105725765228
-123.541667,44.20833354,102,-0.066474124789238
-123.541667,44.3750002,103,-0.0671869590878487
-123.541667,44.54166686,104,-0.069220669567585
-123.541667,44.62500019,105,-0.0662099272012711
-123.541667,44.70833352,106,-0.0631991848349571
-123.541667,45.04166684,107,-0.0597897246479988
-123.541667,45.12500017,108,-0.0549884922802448
-123.541667,45.87500014,109,-0.0241813845932484
-123.541667,45.95833347,110,-0.0235943291336298
-123.541667,46.12500013,111,-0.0180438887327909
-123.541667,46.37500012,112,-0.0206924211233854
-123.541667,46.95833343,113,-0.0667523667216301
-123.541667,47.04166676,114,-0.0716124325990677
-123.541667,47.12500009,115,-0.0741309002041817
-123.4583337,39.04166708,116,-0.0402560718357563
-123.4583337,39.12500041,117,-0.0658751279115677
-123.4583337,39.62500039,118,-0.0803724080324173
-123.4583337,39.70833372,119,-0.0868046209216118
-123.4583337,42.37500028,120,-0.218824371695518
-123.4583337,42.45833361,121,-0.2326400578022
-123.4583337,42.7083336,122,-0.155501648783684
-123.4583337,42.87500026,123,-0.130236595869064
