"x","y","GID","Labor_unskilled_Agriculture_3C"
-124.4583333,42.79166693,1,0
-124.4583333,42.87500026,2,0
-124.375,42.45833361,3,-0.000108887339592911
-124.375,42.95833359,4,-0.00605369545519352
-124.375,43.04166692,5,-0.00591407716274261
-124.375,43.12500025,6,-0.00366254872642457
-124.375,43.20833358,7,-0.00141102017369121
-124.375,47.95833339,8,-0.00442019384354353
-124.2916667,40.54166702,9,-0.00180333899334073
-124.2916667,43.12500025,10,-0.00366254872642457
-124.2916667,43.20833358,11,-0.00141102017369121
-124.2083334,40.54166702,12,-0.00567918596789241
-124.2083334,40.62500035,13,-0.00350475078448653
-124.2083334,42.04166696,14,-0.00822043791413307
-124.2083334,42.12500029,15,-0.00824710447341204
-124.2083334,43.12500025,16,-0.00647972896695137
-124.2083334,43.29166691,17,-0.00348659255541861
-124.2083334,43.45833357,18,-0.00229131383821368
-124.1250001,40.54166702,19,-0.0134308887645602
-124.1250001,40.87500034,20,-0.000516610569320619
-124.1250001,42.12500029,21,-0.0211352314800024
-124.1250001,42.20833362,22,-0.0234136916697025
-124.1250001,42.95833359,23,-0.0135380662977695
-124.1250001,43.04166692,24,-0.0129996789619327
-124.1250001,43.12500025,25,-0.0121140964329243
-124.1250001,43.20833358,26,-0.0112285139039159
-124.1250001,43.29166691,27,-0.00993204303085804
-124.1250001,43.37500024,28,-0.00822468660771847
-124.1250001,43.45833357,29,-0.00651733065024018
-124.0416668,40.54166702,30,-0.0211825910955667
-124.0416668,43.12500025,31,-0.0177484638988972
-124.0416668,43.20833358,32,-0.017773512750864
-124.0416668,43.37500024,33,-0.0135604199022055
-123.9583335,40.37500036,34,-0.0411641150712967
-123.9583335,40.45833369,35,-0.037760715931654
-123.9583335,43.79166689,36,-0.0124610969796777
-123.9583335,44.70833352,37,-0.00321692321449518
-123.9583335,44.79166685,38,-0.00316893309354782
-123.9583335,44.87500018,39,-0.00317070004530251
-123.9583335,47.20833342,40,-0.0163481365889311
-123.8750002,40.37500036,41,-0.0564534664154053
-123.8750002,43.12500025,42,-0.0329612009227276
-123.8750002,43.5416669,43,-0.0288463775068521
-123.8750002,44.12500021,44,-0.0163280051201582
-123.8750002,44.70833352,45,-0.0096307098865509
-123.8750002,44.79166685,46,-0.00948134157806635
-123.8750002,45.12500017,47,-0.0103719746693969
-123.8750002,45.2083335,48,-0.0109774665907025
-123.8750002,45.29166683,49,-0.011123632080853
-123.8750002,45.45833349,50,-0.0104973157867789
-123.8750002,45.70833348,51,-0.00866440404206514
-123.8750002,45.79166681,52,-0.00830951053649187
-123.8750002,46.12500013,53,-0.00606506364420056
-123.7916669,42.37500028,54,-0.078827828168869
-123.7916669,43.5416669,55,-0.0411127656698227
-123.7916669,44.70833352,56,-0.016044495627284
-123.7916669,44.79166685,57,-0.0157937500625849
-123.7916669,45.37500016,58,-0.0180021971464157
-123.7916669,45.45833349,59,-0.0174814127385616
-123.7916669,45.54166682,60,-0.0166640151292086
-123.7916669,45.70833348,61,-0.0144360018894076
-123.7916669,45.79166681,62,-0.0138457706198096
-123.7916669,47.12500009,63,-0.0320907197892666
-123.7083336,42.20833362,64,-0.0979681313037872
-123.7083336,42.29166695,65,-0.099102221429348
-123.7083336,43.62500023,66,-0.0503639169037342
-123.7083336,43.70833356,67,-0.0481461361050606
-123.7083336,44.3750002,68,-0.0268603917211294
-123.7083336,44.62500019,69,-0.0265241134911776
-123.7083336,44.87500018,70,-0.0252995062619448
-123.7083336,45.12500017,71,-0.0257820431143045
-123.7083336,45.45833349,72,-0.0235680360347033
-123.7083336,46.12500013,73,-0.0132656982168555
-123.7083336,46.70833344,74,-0.0277036633342505
-123.7083336,46.8750001,75,-0.0315980948507786
-123.7083336,47.04166676,76,-0.0360861569643021
-123.7083336,47.12500009,77,-0.0400132536888123
-123.6250003,40.95833367,78,-0.0780613794922829
-123.6250003,42.12500029,79,-0.0865871235728264
-123.6250003,42.20833362,80,-0.0995614752173424
-123.6250003,42.29166695,81,-0.105990201234818
-123.6250003,43.37500024,82,-0.0685776621103287
-123.6250003,43.62500023,83,-0.0604411512613297
-123.6250003,44.3750002,84,-0.0405224226415157
-123.6250003,44.62500019,85,-0.0399043634533882
-123.6250003,44.79166685,86,-0.0376977026462555
-123.6250003,45.04166684,87,-0.0376715287566185
-123.6250003,45.12500017,88,-0.0359118729829788
-123.6250003,45.87500014,89,-0.02070620842278
-123.6250003,46.12500013,90,-0.0155535116791725
-123.6250003,46.37500012,91,-0.0176139585673809
-123.6250003,46.95833343,92,-0.0421958789229393
-123.6250003,47.04166676,93,-0.0446149781346321
-123.6250003,47.12500009,94,-0.0465770326554775
-123.541667,39.12500041,95,-0.0296008829027414
-123.541667,42.12500029,96,-0.0835188254714012
-123.541667,42.45833361,97,-0.124499775469303
-123.541667,43.12500025,98,-0.081086128950119
-123.541667,43.20833358,99,-0.0852800384163857
-123.541667,43.5416669,100,-0.0739246606826782
-123.541667,43.62500023,101,-0.0705183818936348
-123.541667,44.20833354,102,-0.0540729276835918
-123.541667,44.3750002,103,-0.0541844516992569
-123.541667,44.54166686,104,-0.0555377602577209
-123.541667,44.62500019,105,-0.053284615278244
-123.541667,44.70833352,106,-0.0510314740240574
-123.541667,45.04166684,107,-0.0497823879122734
-123.541667,45.12500017,108,-0.0460417009890079
-123.541667,45.87500014,109,-0.0234877802431583
-123.541667,45.95833347,110,-0.0231999848037958
-123.541667,46.12500013,111,-0.0178413260728121
-123.541667,46.37500012,112,-0.0204062983393669
-123.541667,46.95833343,113,-0.0511106587946415
-123.541667,47.04166676,114,-0.0531437955796719
-123.541667,47.12500009,115,-0.0531408116221428
-123.4583337,39.04166708,116,-0.0284383799880743
-123.4583337,39.12500041,117,-0.0465043820440769
-123.4583337,39.62500039,118,-0.0618487969040871
-123.4583337,39.70833372,119,-0.0685442760586739
-123.4583337,42.37500028,120,-0.131334558129311
-123.4583337,42.45833361,121,-0.142239987850189
-123.4583337,42.7083336,122,-0.102055966854095
