GTAP,SIMPLE
aus,AUS_NZ
nzl,AUS_NZ
xoc,AUS_NZ
chn,CHN
hkg,CHN
jpn,JPN_KR
kor,JPN_KR
mng,C_Asia
twn,CHN
xea,CHN
brn,SE_Asia
khm,SE_Asia
idn,SE_Asia
lao,SE_Asia
mys,SE_Asia
phl,SE_Asia
sgp,SE_Asia
tha,SE_Asia
vnm,SE_Asia
xse,SE_Asia
bgd,S_Asia
ind,S_Asia
npl,S_Asia
pak,S_Asia
lka,S_Asia
xsa,S_Asia
can,CAN
usa,US
mex,CC_Amer
xna,US
arg,S_Amer
bol,S_Amer
bra,S_Amer
chl,S_Amer
col,S_Amer
ecu,S_Amer
pry,S_Amer
per,S_Amer
ury,S_Amer
ven,S_Amer
xsm,S_Amer
cri,CC_Amer
gtm,CC_Amer
hnd,CC_Amer
nic,CC_Amer
pan,CC_Amer
slv,CC_Amer
xca,CC_Amer
dom,CC_Amer
jam,CC_Amer
pri,CC_Amer
tto,CC_Amer
xcb,CC_Amer
aut,EU
bel,EU
bgr,EU
hrv,E_Euro
cyp,EU
cze,EU
dnk,EU
est,EU
fin,EU
fra,EU
deu,EU
grc,EU
hun,EU
irl,EU
ita,EU
lva,EU
ltu,EU
lux,EU
mlt,EU
nld,EU
pol,EU
prt,EU
rou,E_Euro
svk,EU
svn,E_Euro
esp,EU
swe,EU
gbr,EU
che,EU
nor,EU
xef,EU
alb,E_Euro
blr,E_Euro
rus,E_Euro
ukr,E_Euro
xee,E_Euro
xer,E_Euro
kaz,C_Asia
kgz,C_Asia
tjk,C_Asia
xsu,C_Asia
arm,C_Asia
aze,C_Asia
geo,C_Asia
bhr,M_East
irn,M_East
isr,M_East
jor,M_East
kwt,M_East
omn,M_East
qat,M_East
sau,M_East
tur,M_East
are,M_East
xws,M_East
egy,N_Afr
mar,N_Afr
tun,N_Afr
xnf,N_Afr
ben,SSA
bfa,SSA
cmr,SSA
civ,SSA
gha,SSA
gin,SSA
nga,SSA
sen,SSA
tgo,SSA
xwf,SSA
xcf,SSA
xac,SSA
eth,SSA
ken,SSA
mdg,SSA
mwi,SSA
mus,S_Afr
moz,SSA
rwa,SSA
tza,SSA
uga,SSA
zmb,SSA
zwe,SSA
xec,SSA
bwa,S_Afr
nam,S_Afr
zaf,S_Afr
xsc,S_Afr
