"GTAP","SIMPLE","AgLabor"
"aus","AUS_NZ",2825.75784873962
"nzl","AUS_NZ",325.235774125904
"xoc","AUS_NZ",78.5409552473575
"chn","CHN_MNG",288518.991210938
"hkg","CHN_MNG",190.115314543247
"jpn","JPN_KR",13455.9167428017
"kor","JPN_KR",4852.43565559387
"mng","CHN_MNG",56.4208651666486
"twn","CHN_MNG",2090.18218243122
"brn","SE_Asia",0.994251644122414
"khm","SE_Asia",928.798636097927
"idn","SE_Asia",27907.2506260872
"lao","SE_Asia",1251.91984227044
"mys","SE_Asia",4932.09918189188
"phl","SE_Asia",7187.56329965591
"sgp","SE_Asia",97.5817197337747
"tha","SE_Asia",10099.2823250294
"vnm","SE_Asia",7357.79838957638
"bgd","S_Asia",7069.35662841797
"ind","S_Asia",70167.3762207031
"pak","S_Asia",16093.8260955811
"lka","S_Asia",1934.22847458161
"xsa","S_Asia",3533.63171386719
"can","CAN",5583.94798660278
"usa","US",3984.16667938232
"mex","CC_Amer",10930.308763504
"xna","US",10.3134645745158
"arg","S_Amer",3970.4456653595
"bol","S_Amer",1078.83510351181
"bra","S_Amer",16734.344543457
"chl","S_Amer",2490.74293899536
"col","S_Amer",2181.36159420013
"ecu","S_Amer",1810.20384180546
"pry","S_Amer",826.266793251038
"per","S_Amer",8559.57634735107
"ury","S_Amer",597.791198767722
"ven","S_Amer",3776.53402793407
"xsm","S_Amer",147.781956702471
"cri","CC_Amer",838.288919448853
"gtm","CC_Amer",2275.32017147541
"hnd","CC_Amer",911.072931697126
"nic","CC_Amer",388.740555437398
"pan","CC_Amer",813.315627458505
"slv","CC_Amer",582.847115009557
"xca","CC_Amer",56.4539880752563
"dom","CC_Amer",695.507722067647
"jam","CC_Amer",234.065185878426
"pri","CC_Amer",342.656444191933
"tto","CC_Amer",84.484958704561
"xcb","CC_Amer",992.785650730133
"aut","EU",1094.21077033877
"bel","EU",1092.0688482523
"cyp","EU",144.231833767146
"cze","EU",403.132457848638
"dnk","EU",251.796058159322
"est","EU",89.3964313073084
"fin","EU",468.632608659565
"fra","EU",10865.7464542389
"deu","EU",6049.90743362904
"grc","EU",4660.11135101318
"hun","EU",881.336045324802
"irl","EU",11.090011724038
"ita","EU",8180.26135253906
"lva","EU",176.961331629194
"ltu","EU",434.736445184797
"lux","EU",51.3235819726251
"mlt","EU",27.3508663042448
"nld","EU",4160.80761438608
"pol","EU",3506.92448990047
"prt","EU",969.971933655441
"svk","EU",109.710945958272
"svn","E_Euro",244.501559316181
"esp","EU",10940.8050231934
"swe","EU",607.897296905518
"gbr","EU",3114.19251447916
"che","EU",649.497534930706
"nor","EU",530.335327267647
"xef","EU",8.15777039318345
"alb","E_Euro",282.677680320747
"bgr","EU",622.434701107442
"blr","E_Euro",2848.68549346924
"hrv","E_Euro",299.349110253155
"rou","E_Euro",4082.98759484291
"rus","E_Euro",17577.7434978485
"ukr","E_Euro",5471.94185066223
"xee","E_Euro",380.304289326072
"xer","E_Euro",692.702093362808
"kaz","C_Asia",3259.58483052254
"kgz","C_Asia",654.925390958786
"tjk","C_Asia",1326.10010536201
"xsu","C_Asia",5149.77778434753
"arm","C_Asia",519.063585743308
"aze","C_Asia",5273.46168261766
"geo","C_Asia",780.829539267346
"bhr","M_East",35.2502102982417
"irn","M_East",11259.7236022949
"isr","M_East",1392.67477311939
"jor","M_East",380.520854043774
"kwt","M_East",110.22108462563
"omn","M_East",92.8031842816854
"qat","M_East",177.395454852016
"sau","M_East",2245.5473607828
"tur","M_East",16006.2792663574
"are","M_East",2641.33975568507
"xws","M_East",19089.0670394897
"egy","N_Afr",21167.1970367432
"mar","N_Afr",6384.01842355728
"tun","N_Afr",1374.95033985795
"xnf","N_Afr",2737.35284662852
"bfa","SSA",1045.94621033221
"cmr","SSA",2910.41830806938
"civ","SSA",5788.41750626662
"gha","SSA",5271.90163862705
"gin","SSA",396.809520136929
"nga","SSA",135800.283432007
"sen","SSA",842.469516895711
"tgo","SSA",472.407647700398
"xwf","SSA",4168.70724505186
"xcf","SSA",1036.18257975578
"xac","SSA",3264.22708773613
"eth","SSA",9238.77795851231
"ken","SSA",7121.47948658466
"mnm","SSA",2454.87294123508
"mwi","SSA",509.815724469721
"mus","S_Afr",292.379567395416
"rwa","SSA",1313.11198622594
"tza","SSA",4809.3540687561
"uga","SSA",2147.6637446254
"zmb","SSA",958.900133132935
"zwe","SSA",238.968576923013
"xec","SSA",1674.8097038269
"bwa","S_Afr",54.8950111232698
"nam","S_Afr",98.0120892971172
"zaf","S_Afr",825.705989003181
"xsc","S_Afr",54.0122635662556
