"String","GRID","shock"
"E_Euro",75652,-0.695853199262793
"N_Afr",75653,-4.67189156961846
"SSA",75654,-17.2655059394518
"S_Amer",75655,-5.73946422045363
"AUS_NZ",75656,-0.945615479267932
"EU",75657,-0.531616426881347
"S_Asia",75658,-17.1476252780425
"CC_Amer",75659,-8.80277775232903
"S_Afr",75660,-1.45693018427643
"SE_Asia",75661,-18.7367584745686
"CAN",75662,-0.4791803
"US",NA,-3.2083278
"CHN_MNG",75663,-7.95293128302021
"M_East",75664,-4.85373620842103
"JPN_KR",75665,-2.93499477467733
"C_Asia",75666,-2.61492578950234
