"String","GRID","shock"
"E_Euro",75652,-0.539942050263467
"N_Afr",75653,-5.01099250768586
"SSA",75654,-12.3170021384718
"S_Amer",75655,-5.15330510908345
"AUS_NZ",75656,-0.941626712006055
"EU",75657,-0.538722298843458
"S_Asia",75658,-16.7168139645371
"CC_Amer",75659,-7.71804192481781
"S_Afr",75660,-1.32623434593001
"SE_Asia",75661,-18.2532223422084
"CAN",75662,-0.3990333
"US",NA,-3.2114036
"CHN_MNG",75663,-7.60498287667917
"M_East",75664,-4.7787408129738
"JPN_KR",75665,-2.82992463535764
"C_Asia",75666,-2.48595608754572
