"String","GRID","shock"
"E_Euro",75652,-0.570385504670289
"N_Afr",75653,-5.34051673699011
"SSA",75654,-13.7305134307496
"S_Amer",75655,-5.24637425449078
"AUS_NZ",75656,-0.977218633439757
"EU",75657,-0.610840501934735
"S_Asia",75658,-15.8876108523297
"CC_Amer",75659,-8.1685440397935
"S_Afr",75660,-1.11615537339947
"SE_Asia",75661,-17.0326062467674
"CAN",75662,-0.3618628
"US",NA,-2.6214315
"CHN_MNG",75663,-6.56516252591135
"M_East",75664,-4.86019454700157
"JPN_KR",75665,-1.7648284505309
"C_Asia",75666,-2.34156886510223
