"String","GRID","shock"
"E_Euro",75652,-0.676630678088171
"N_Afr",75653,-5.30938656305816
"SSA",75654,-13.9156609054095
"S_Amer",75655,-5.5261846456079
"AUS_NZ",75656,-1.02462289315256
"EU",75657,-0.564862420227144
"S_Asia",75658,-16.7229942236578
"CC_Amer",75659,-9.21193066894054
"S_Afr",75660,-1.37751530843171
"SE_Asia",75661,-20.0700104291221
"CAN",75662,-0.3407651
"US",NA,-2.763201
"CHN_MNG",75663,-6.89892898990825
"M_East",75664,-4.8807865906796
"JPN_KR",75665,-1.93015227542716
"C_Asia",75666,-2.64803386069267
