"String","GRID","shock"
"E_Euro",75652,-0.353788740470157
"N_Afr",75653,-4.02344808532326
"SSA",75654,-12.6186524027926
"S_Amer",75655,-5.01398152597949
"AUS_NZ",75656,-0.826785169980386
"EU",75657,-0.362633857265852
"S_Asia",75658,-14.8731545326232
"CC_Amer",75659,-7.57754420915265
"S_Afr",75660,-1.24085362035023
"SE_Asia",75661,-16.8368084869294
"CAN",75662,-0.3243328
"US",NA,-2.4339842
"CHN_MNG",75663,-6.54488569210323
"M_East",75664,-3.85659549653408
"JPN_KR",75665,-1.96336948584172
"C_Asia",75666,-1.93119099794186
