"String","GRID","shock"
"E_Euro",75652,-0.508115468028775
"N_Afr",75653,-4.1832933285959
"SSA",75654,-13.1783588456641
"S_Amer",75655,-5.06456654428965
"AUS_NZ",75656,-0.907888762376268
"EU",75657,-0.412064940078983
"S_Asia",75658,-16.2177696672905
"CC_Amer",75659,-7.91636626125622
"S_Afr",75660,-1.21797944895584
"SE_Asia",75661,-17.0418333215602
"CAN",75662,-0.3357881
"US",NA,-2.9144783
"CHN_MNG",75663,-7.17370262843638
"M_East",75664,-3.97824344664762
"JPN_KR",75665,-2.97934228453883
"C_Asia",75666,-1.89834033106905
