"String","GRID","shock"
"E_Euro",75652,-0.84373944930494
"N_Afr",75653,-6.92637296789349
"SSA",75654,-11.7472646540412
"S_Amer",75655,-4.87289827992608
"AUS_NZ",75656,-1.02125298857797
"EU",75657,-1.10655815001734
"S_Asia",75658,-15.0619829612003
"CC_Amer",75659,-10.187404881047
"S_Afr",75660,-1.48522418333148
"SE_Asia",75661,-15.0325130517318
"CAN",75662,-0.4393808
"US",NA,-3.6230123
"CHN_MNG",75663,-5.9373494991443
"M_East",75664,-5.68033939356578
"JPN_KR",75665,-2.30361142073004
"C_Asia",75666,-2.66229473277925
