"String","GRID","shock"
"E_Euro",75652,-0.411631306758012
"N_Afr",75653,-5.44527470947691
"SSA",75654,-9.98405908053975
"S_Amer",75655,-5.6136338030941
"AUS_NZ",75656,-1.0081661717879
"EU",75657,-0.53215408512949
"S_Asia",75658,-16.6753465214913
"CC_Amer",75659,-8.60312818482957
"S_Afr",75660,-1.41383808696214
"SE_Asia",75661,-17.151842929387
"CAN",75662,-0.2719378
"US",NA,-2.8332842
"CHN_MNG",75663,-6.16280679984939
"M_East",75664,-4.72835136447465
"JPN_KR",75665,-1.87632965819682
"C_Asia",75666,-2.12331257494754
