"String","GRID","shock"
"E_Euro",75652,-0.526321210838599
"N_Afr",75653,-5.34013691249606
"SSA",75654,-10.7640375867531
"S_Amer",75655,-5.88343954316949
"AUS_NZ",75656,-1.03425901911243
"EU",75657,-0.56222544340084
"S_Asia",75658,-17.1331047355017
"CC_Amer",75659,-8.80498658656202
"S_Afr",75660,-1.45418439425392
"SE_Asia",75661,-18.1822916832102
"CAN",75662,-0.3698901
"US",NA,-3.3631983
"CHN_MNG",75663,-6.5236820998339
"M_East",75664,-5.18418029538017
"JPN_KR",75665,-1.68270311395244
"C_Asia",75666,-2.29487042661684
