"String","GRID","shock"
"E_Euro",75652,-0.453872029333551
"N_Afr",75653,-5.10623996417612
"SSA",75654,-15.0672684796678
"S_Amer",75655,-4.94841434939996
"AUS_NZ",75656,-1.03070282344153
"EU",75657,-0.606701745193176
"S_Asia",75658,-16.7755493251256
"CC_Amer",75659,-8.25477029064929
"S_Afr",75660,-1.54916709132532
"SE_Asia",75661,-18.6093074159036
"CAN",75662,-0.3621085
"US",NA,-3.2135077
"CHN_MNG",75663,-6.990751295471
"M_East",75664,-5.02981918824016
"JPN_KR",75665,-2.29743021204933
"C_Asia",75666,-2.03810594556597
